game_id,Platform,g_company,game_n,genre,rating,release_date,price
568330,windows,派嘉数创科技有限公司,(VR)西汉帝陵 The Han Dynasty Imperial Mausoleums,Indie,7.142857143,2017-01-20,1.59
1034230,windows,Kenshin Game Studio,***,Casual,3.333333333,2019-03-17,0.79
603750,windows,Arcane Raise,- Arcane Raise -,Adventure,3.695652174,2017-03-10,1.99
729370,windows,La Cosa,-KLAUS-,Adventure,10,2019-01-23,11.39
525480,windows,CyberConnect2,.hack//G.U. Last Recode,RPG,8.774094063,2017-11-03,39.99
759000,windows,Kyrylo Kuzyk,.projekt,Casual,8.939393939,2018-03-17,3.99
771710,windows,Veslo Games,.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,Action,7.941176471,2018-05-03,4.79
270090,windows,Rail Slave Games,//N.P.P.D. RUSH//- The milk of Ultraviolet,Action,3.333333333,2014-02-13,2.99
355430,windows,Rail Slave Games,//SNOWFLAKE TATTOO//,Action,3.571428571,2015-03-27,3.99
554920,windows,Zero Day Games,0 Day,Violent,5,2016-11-15,4.99
278440,windows,Alan Zucconi,0RBITALIS,Indie,7.262357414,2015-05-28,6.99
670750,windows,Colorfiction,0°N 0°W,Adventure,9.35483871,2018-03-01,6.19
882750,windows,DV,1 HIT KILL,Action,10,2018-07-19,2.89
497400,windows,2 Monkeys,1 Moment Of Time: Silentville,Adventure,7.755102041,2016-07-22,0.79
628340,windows,Blaiz Entertainment,1 vs 1 : Global Operations,Action,4.920634921,2017-05-03,3.19
583570,windows,MNGOVR,1-2-Swift,Action,3.333333333,2017-01-29,1.99
1025480,windows,Alex Hanson-White,1-Bit Revival: The Residuals of Null,Action,10,2019-03-20,2.89
477010,windows,Team17 Digital Ltd,10 Minute Tower,Indie,3.333333333,2016-07-26,9.99
271670,windows,Four Circle Interactive,10 Second Ninja,Action,8.583941606,2014-03-05,1.59
435790,windows,Four Circle Interactive,10 Second Ninja X,Action,8.881578947,2016-07-19,7.99
852190,windows,Zynk Software,10 seconds,Action,10,2018-07-16,3.99
339240,windows,Rock Paper Games,10 Years After,Action,1.359223301,2015-01-30,4.79
1055140,windows,睦月文化,10-4 Indirect Contact,Indie,9.056603774,2019-04-15,2.89
856260,windows,William Brown,100 Chests,Adventure,4.285714286,2018-06-15,2.09
796580,windows,Cien Studio,100 Seconds,Casual,0,2018-03-12,3.99
1016250,windows,КиКо,100$,Indie,8.965517241,2019-02-01,0.79
282800,windows,Orange_Juice,100% Orange Juice,Indie,9.303447671,2014-05-16,4.99
205690,windows,Brandon Brizzi,1000 Amps,Adventure,7.869415808,2012-02-22,3.99
873180,windows,ltaoist,1000 Stages,Adventure,2.5,2018-07-13,1.69
970900,windows,Creobit,1001 Jigsaw. Home Sweet Home,Casual,10,2018-12-10,3.99
970910,windows,Creobit,1001 Jigsaw. World Tour: Great America,Casual,0,2019-01-21,3.99
958050,windows,Toster12D3,1001st Hyper Tower,Action,10,2019-03-18,9.29
368000,windows,No Goblin,100ft Robot Golf,Action,7.640449438,2017-03-16,7.19
553830,windows,.M.Y.W.,100nya,Indie,9.130434783,2016-11-12,2.3
413480,windows,4 Door Lemon,101 Ways to Die,Action,8.235294118,2016-03-17,7.99
879660,windows,Dynamoid,10k,Design & Illustration,10,2018-08-15,11.39
735580,windows,Aardman Animations,11-11 Memories Retold,Adventure,9.366197183,2018-11-08,19.99
1063560,windows,Second Reality,12 HOURS,Action,9,2019-04-24,2.09
